incident_id,date,time,year,month,hour,day_of_week,area,locality,street_name,zone,location_type,latitude,longitude,incident_type,incident_sub_type,severity,status,department,response_time_minutes,people_involved,victim_count,injuries,damage_cost,report_source,lighting_condition,cctv_available,premises_status,weather_condition,offender_captured
1,2022-03-15,14:30:00,2022,3,14,Saturday,Banjara Hills,Road No 1,Central,Central,Commercial,17.420031,78.475307,Medical Emergency,Flood,High,In Progress,Ambulance,15,43,14,6,56589,Citizen,Dim,No,Open,Heavy Rain,Yes
2,2022-04-22,09:15:00,2022,4,9,Saturday,Gachibowli,IT Park Road,West,West,Public Park,17.42851,78.358852,Medical Emergency,Flood,High,Open,Ambulance,6,15,7,6,184993,Citizen,Dim,Yes,Open,Heavy Rain,Yes
3,2022-05-18,23:45:00,2022,5,23,Thursday,Secunderabad,Bus Stand Road,North,North,Residential,17.448259,78.501239,Crime,Noise Complaint,High,In Progress,Police,51,32,12,10,50939,Family,Dim,Yes,Open,Rain,Yes
4,2022-06-30,16:20:00,2022,6,16,Tuesday,Miyapur,Lake View Road,West,North,Commercial,17.507075,78.376764,Disaster,Theft,Critical,In Progress,Disaster Management,13,33,16,15,9599,Citizen,Dim,No,Open,Fog,No
5,2022-07-11,08:35:00,2022,7,8,Tuesday,Uppal,Industrial Road,East,East,Industrial Area,17.410885,78.549401,Disaster,Theft,Low,In Progress,Disaster Management,51,43,8,0,98585,Anonymous,Daylight,No,Open,Clear,Yes
6,2022-08-25,19:10:00,2022,8,19,Wednesday,Charminar,Old City Lane,South,South,Commercial,17.360669,78.465871,Disaster,Noise Complaint,Low,In Progress,Disaster Management,9,4,4,3,118570,Neighbor,Dim,No,Open,Clear,No
7,2022-09-03,12:45:00,2022,9,12,Monday,Kukatpally,Market Road,North,Central,Commercial,17.479867,78.422444,Public Complaint,Flood,Low,Open,GHMC,53,20,7,6,106852,Citizen,Daylight,No,Open,Rain,Yes
8,2022-10-17,21:30:00,2022,10,21,Friday,Jubilee Hills,Road No 36,Central,Central,Residential,17.434152,78.471678,Medical Emergency,Heart Attack,Critical,In Progress,Ambulance,33,33,14,8,169595,Driver,Daylight,Yes,Open,Clear,Yes
9,2022-11-05,06:15:00,2022,11,6,Sunday,Ameerpet,Hospital Road,Central,Central,Hospital,17.432222,78.451645,Accident,Fire Alert,High,In Progress,Traffic Police,24,38,0,0,62960,Family,Daylight,Yes,Open,Clear,Yes
10,2022-12-21,13:55:00,2022,12,13,Monday,LB Nagar,Metro Road,East,East,Residential,17.339209,78.547165,Crime,Heart Attack,Medium,In Progress,Police,13,12,8,5,134953,Family,Well-lit,Yes,Open,Heavy Rain,Yes
11,2023-01-08,10:20:00,2023,1,10,Wednesday,Nampally,Main Road,Central,Central,Commercial,17.391242,78.481305,Public Complaint,Car Accident,Medium,Open,GHMC,57,11,11,3,25042,Family,Daylight,No,Open,Rain,No
12,2023-02-14,18:40:00,2023,2,18,Saturday,Tolichowki,School Street,South,South,School,17.379522,78.428842,Medical Emergency,Theft,Critical,In Progress,Ambulance,46,20,0,0,61309,Police,Daylight,Yes,Open,Cloudy,Yes
13,2023-03-27,22:10:00,2023,3,22,Monday,Hitech City,IT Park Road,West,West,Public Park,17.449454,78.39305,Disaster,Fire Alert,Low,Resolved,Disaster Management,12,4,3,1,157184,Driver,Daylight,No,Open,Hot,No
14,2023-04-09,15:25:00,2023,4,15,Friday,Medchal,Highway Road,North,North,Commercial,17.572538,78.501156,Disaster,Noise Complaint,Medium,Resolved,Disaster Management,32,39,3,3,69311,Citizen,Well-lit,No,Open,Rain,Yes
15,2023-05-16,07:50:00,2023,5,7,Saturday,Begumpet,Metro Road,North,Central,Residential,17.4572,78.488153,Accident,Flood,Medium,Open,Traffic Police,40,13,4,2,77765,Driver,No Streetlights,Yes,Open,Hot,No
16,2023-06-22,20:15:00,2023,6,20,Sunday,Shamshabad,Airport Road,South,South,Commercial,17.335469,78.417464,Medical Emergency,Flood,High,In Progress,Ambulance,25,9,1,0,92384,Driver,Daylight,No,Open,Heavy Rain,No
